timestamp	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	uc1	uc2	uc3	uc4	temp1	temp2	temp3	temp4
2026.04.20 10:21:11,793480	1.954713	1.996261	1.964490	1.937797	2.159591	2.099003	2.064843	2.213354	2.043772	2.152426	2.208313	2.241225	2.240821	2.298465	2.188804	2.104438	2.321057	2.341048	2.182316	2.233586	2.023100	2.072865	2.105500	2.169535	2.014468	2.030985	1.800092	1.829877	1.644168	1.654283	1.570518	1.711745	1.358553	1.418889	1.390368	1.390835	2.215110	2.153167	2.152869	2.178137	2.073873	2.077830	2.278925	1.955118	1.966300	2.031287	2.035844	2.289217	2.256542	2.167822	2.020520	2.155070	2.174702	2.443915	2.028436	1.857433	1.753474	1.899716	1.891553	1.946809	1.763049	1.574406	1.520072	1.509835	1.549427	1.770971	1.668448	1.722383	1.685300	1.770112	1.754135	1.663114	-0.021315	0.586224	-0.023891	0.585902	65.486040	67.723790	70.163849	72.192388
2026.04.20 10:21:11,793571	1.957051	1.997170	1.985121	1.953583	2.163780	2.105302	2.087437	2.231287	2.056610	2.161896	2.264929	2.277943	2.254582	2.307258	2.237587	2.134764	2.336216	2.347503	2.204636	2.254233	2.030107	2.083370	2.121659	2.181537	2.027784	2.037111	1.811068	1.838853	1.657009	1.665667	1.581514	1.721666	1.365006	1.424547	1.395920	1.393429	2.221488	2.161216	2.160095	2.178559	2.069174	2.079754	2.283374	1.953301	1.969357	2.017849	2.021208	2.282556	2.256380	2.158941	2.020410	2.095514	2.154194	2.427709	2.025054	1.854778	1.756790	1.847787	1.859726	1.932539	1.757098	1.569804	1.520702	1.484004	1.528862	1.750496	1.657858	1.706972	1.674788	1.726613	1.725794	1.643097	-0.021315	0.587190	-0.024213	0.586224	65.412699	67.697971	70.039586	72.192388
2026.04.20 10:21:11,793662	1.952925	1.991658	1.996538	1.957497	2.163623	2.105139	2.104392	2.242990	2.065339	2.164746	2.325183	2.323574	2.264834	2.309760	2.308184	2.185695	2.341893	2.346919	2.265461	2.299794	2.040502	2.079050	2.167961	2.212158	2.031122	2.037409	1.830849	1.848739	1.663898	1.672704	1.591389	1.730785	1.374974	1.431814	1.403052	1.402112	2.234180	2.170115	2.170809	2.189087	2.078554	2.085593	2.291120	1.961430	1.970463	2.014710	2.019758	2.284226	2.261437	2.162574	2.020689	2.047001	2.140609	2.423901	2.024160	1.854413	1.759747	1.780032	1.816182	1.914506	1.750728	1.566242	1.523197	1.454341	1.506607	1.734539	1.654467	1.702709	1.678817	1.696295	1.700305	1.626063	-0.020993	0.587512	-0.022281	0.588477	65.388252	67.646333	69.915323	72.168684
2026.04.20 10:21:11,793753	1.947686	1.987870	2.003718	1.960763	2.157210	2.100452	2.113103	2.245605	2.062437	2.162259	2.373301	2.351229	2.260986	2.309955	2.365669	2.232250	2.345005	2.347121	2.334180	2.356474	2.041699	2.081949	2.237281	2.265575	2.037482	2.041393	1.882944	1.882093	1.670636	1.671116	1.610098	1.744438	1.380963	1.432936	1.413572	1.408694	2.246125	2.181860	2.176598	2.198367	2.091329	2.098899	2.304595	1.968473	1.982897	2.024328	2.031837	2.296990	2.267660	2.169670	2.021090	2.037991	2.141007	2.425727	2.027656	1.853131	1.770850	1.731702	1.771727	1.901312	1.749575	1.563801	1.525323	1.420899	1.480041	1.716715	1.651069	1.698367	1.682205	1.660460	1.674176	1.603315	-0.021637	0.588155	-0.020993	0.590087	65.461593	67.697971	70.138996	72.358313
2026.04.20 10:21:11,793844	1.930507	1.976552	1.975530	1.941773	2.145705	2.091088	2.103990	2.237712	2.057234	2.164623	2.418619	2.382125	2.254090	2.301521	2.429809	2.273163	2.337638	2.338440	2.384819	2.397228	2.040332	2.074618	2.297987	2.318518	2.032518	2.037025	1.952504	1.936403	1.673472	1.673357	1.647273	1.766221	1.383161	1.429139	1.444063	1.428404	2.254796	2.186978	2.186568	2.212795	2.099459	2.109099	2.314679	1.976448	1.988295	2.035725	2.041551	2.308952	2.279452	2.181731	2.033046	2.051462	2.155661	2.439938	2.035403	1.863829	1.773260	1.728409	1.767909	1.901775	1.758970	1.566357	1.525900	1.403711	1.464299	1.709978	1.651391	1.701957	1.682490	1.631386	1.653741	1.588756	-0.021637	0.588155	-0.020349	0.591697	65.363805	67.672152	70.238407	72.405720
2026.04.20 10:21:11,793934	1.922739	1.968365	1.956111	1.923512	2.130355	2.081728	2.072988	2.212672	2.036758	2.145016	2.358071	2.347050	2.241454	2.291844	2.417396	2.281928	2.332262	2.336384	2.433500	2.447276	2.033382	2.065453	2.361510	2.365662	2.027417	2.025000	2.006752	1.969918	1.670686	1.665820	1.672506	1.788358	1.385339	1.427346	1.477003	1.447089	2.256902	2.194562	2.190697	2.240501	2.121276	2.125360	2.325600	1.985625	1.996228	2.054520	2.057782	2.322630	2.288541	2.191805	2.041901	2.062994	2.164694	2.451954	2.046933	1.871295	1.780088	1.734365	1.777417	1.915936	1.767290	1.576055	1.536234	1.411622	1.470583	1.712060	1.657010	1.709397	1.689417	1.622428	1.642029	1.585640	-0.021315	0.588477	-0.018739	0.592663	65.388252	67.646333	70.362670	72.453127
2026.04.20 10:21:11,794025	1.917495	1.962214	1.934578	1.910039	2.124900	2.077985	2.055186	2.195629	2.025975	2.134251	2.306553	2.309067	2.224392	2.280212	2.345750	2.221513	2.314162	2.324023	2.367268	2.397933	2.020018	2.062513	2.362570	2.385059	2.025996	2.019445	2.069520	2.024224	1.666455	1.659111	1.694505	1.798243	1.379958	1.419764	1.504228	1.464520	2.259672	2.193097	2.189191	2.258561	2.132017	2.134597	2.332157	1.987435	1.998501	2.080135	2.074968	2.335491	2.301025	2.199021	2.050818	2.106575	2.182773	2.464043	2.054117	1.876105	1.776290	1.747247	1.781922	1.923464	1.775403	1.579829	1.541493	1.419801	1.476699	1.724281	1.664614	1.717017	1.695416	1.628884	1.649035	1.591331	-0.021637	0.587512	-0.018417	0.592663	65.388252	67.620514	70.437228	72.571645
2026.04.20 10:21:11,794116	1.914694	1.964192	1.915336	1.899406	2.118834	2.074062	2.031244	2.180591	2.017726	2.127265	2.254971	2.269784	2.217035	2.273311	2.293617	2.184794	2.300262	2.312537	2.312459	2.347349	2.011875	2.052137	2.282235	2.317914	2.014956	2.012582	2.011190	1.994229	1.658191	1.658267	1.694104	1.799560	1.373845	1.417488	1.523777	1.475723	2.253173	2.189525	2.182904	2.267809	2.137605	2.135611	2.327173	1.988766	1.997179	2.098165	2.088768	2.344513	2.305129	2.210126	2.053458	2.171611	2.203830	2.483625	2.064766	1.881424	1.772144	1.796692	1.810785	1.939609	1.785299	1.587642	1.543846	1.432933	1.486540	1.732300	1.671999	1.725555	1.705110	1.638407	1.656399	1.593937	-0.021315	0.587190	-0.019383	0.591053	65.363805	67.672152	70.536638	72.619053
2026.04.20 10:21:11,794207	1.921512	1.968583	1.913198	1.893463	2.122606	2.073136	2.019659	2.173930	2.014942	2.129119	2.198433	2.231020	2.208357	2.271224	2.225436	2.136693	2.291765	2.309851	2.255954	2.302300	2.005706	2.051829	2.229470	2.275807	2.002846	2.009726	1.957930	1.951725	1.644250	1.647197	1.654202	1.766927	1.363405	1.410238	1.497364	1.458108	2.237743	2.185190	2.179496	2.266529	2.140896	2.133814	2.323916	1.985890	1.995167	2.108016	2.096508	2.347125	2.299431	2.213519	2.056305	2.220885	2.219817	2.491057	2.068167	1.884558	1.770514	1.867724	1.860251	1.960987	1.790343	1.589445	1.540649	1.462281	1.509375	1.747940	1.679458	1.732003	1.705506	1.659973	1.675850	1.608601	-0.021315	0.587512	-0.020349	0.590087	65.363805	67.568875	70.462080	72.547942
2026.04.20 10:21:11,794298	1.932856	1.973176	1.922477	1.904480	2.131388	2.081904	2.023071	2.177266	2.016452	2.127683	2.166139	2.206512	2.213128	2.272304	2.170015	2.093604	2.295511	2.314045	2.191387	2.248445	2.002884	2.055757	2.161955	2.222859	1.999585	2.014536	1.903987	1.912448	1.640346	1.646576	1.627982	1.751539	1.353902	1.405978	1.469412	1.435953	2.224030	2.168201	2.163609	2.234975	2.116308	2.117323	2.306731	1.974729	1.991890	2.104493	2.093408	2.343138	2.295915	2.208743	2.054131	2.278938	2.227798	2.492230	2.060666	1.878108	1.760100	1.924794	1.897808	1.975518	1.790680	1.589258	1.536930	1.501533	1.535676	1.769407	1.687502	1.732938	1.702570	1.696759	1.701841	1.626695	-0.021637	0.586546	-0.020671	0.588799	65.388252	67.594695	70.437228	72.476831
